106,111,United Breweries Ltd.,INE686F01025,UBL,"4 4,108.05",UBL,"4 4,118.38",,,"44,113.21",Mid Cap,UBL,166.0,United Breweries Limited,4589941.1840655
107,112,Container Corporation Of India Ltd.,INE111A01025,CONCOR,"4 4,073.70",CONCOR,"4 4,080.47",,,"44,077.09",Mid Cap,CONCOR,146.0,Container Corporation of India Limited,5374585.443708
108,113,"Ashok Leyland Ltd.,",INE208A01029,ASHOKLEY,"4 3,843.84",ASHOKLEY,"4 3,841.35",,,"43,842.59",Mid Cap,ASHOKLEY,155.0,Ashok Leyland Limited,5028460.46015
109,114,HDFC Asset Management Company Limited,INE127D01025,HDFCAMC,"4 3,476.95",HDFCAMC,"4 3,483.54",,,"43,480.25",Mid Cap,HDFCAMC,105.0,HDFC Asset Management Company Limited,8014402.844
110,115,"Colgate-Palmolive (India) Ltd.,",INE259A01022,COLPAL,"4 3,219.82",COLPAL,"4 3,222.48",,,"43,221.15",Mid Cap,COLPAL,114.0,Colgate Palmolive (India) Limited,7371762.631119
111,116,Indian Hotels Co. Ltd,INE053A01029,INDHOTEL,"4 2,931.75",INDHOTEL,"4 2,930.95",,,"42,931.35",Mid Cap,INDHOTEL,100.0,The Indian Hotels Company Limited,8414619.609910501
112,117,MUTHOOT FINANCE LIMITED,INE414G01012,MUTHOOTFIN,"4 2,591.73",MUTHOOTFIN,"4 2,589.02",,,"42,590.37",Mid Cap,MUTHOOTFIN,132.0,Muthoot Finance Limited,5943399.410192
113,119,Bandhan Bank Limited,INE545U01014,BANDHANBNK,"4 2,220.82",BANDHANBNK,"4 2,221.81",,,"42,221.31",Mid Cap,BANDHANBNK,231.0,Bandhan Bank Limited,2899652.6862
114,120,Yes Bank Ltd.,INE528G01035,YESBANK,"4 1,748.65",YESBANK,"4 1,395.81",,,"41,572.23",Mid Cap,YESBANK,121.0,Yes Bank Limited,6673733.760208
115,122,AU Small Finance Bank Limited,INE949L01017,AUBANK,"4 1,077.56",AUBANK,"4 0,846.13",,,"40,961.84",Mid Cap,AUBANK,186.0,AU Small Finance Bank Limited,3780652.3
116,123,ASTRAL LIMITED,INE006I01046,ASTRAL,"4 0,907.19",ASTRAL,"4 0,877.13",,,"40,892.16",Mid Cap,ASTRAL,148.0,Astral Limited,5349035.3167125
117,124,"Balkrishna Industries Ltd.,",INE787D01026,BALKRISIND,"3 9,896.43",BALKRISIND,"3 9,896.91",,,"39,896.67",Mid Cap,BALKRISIND,169.0,Balkrishna Industries Limited,4479835.902465
118,125,Zydus Lifesciences Limited,INE010B01027,ZYDUSLIFE,"3 9,756.18",ZYDUSLIFE,"3 9,915.55",,,"39,835.86",Mid Cap,ZYDUSLIFE,79.0,Zydus Lifesciences Limited,10196438.3942165
119,126,Max Healthcare Institute Limited,INE027H01010,MAXHEALTH,"3 9,706.54",MAXHEALTH,"3 9,708.03",,,"39,707.28",Mid Cap,MAXHEALTH,106.0,Max Healthcare Institute Limited,7968709.833191999
120,127,Mphasis Limited,INE356A01018,MPHASIS,"3 9,629.84",MPHASIS,"3 9,616.71",,,"39,623.27",Mid Cap,MPHASIS,168.0,MphasiS Limited,4511861.861531501
121,128,Star Health and Allied Insurance Company Limited,INE575P01011,STARHEALTH,"3 8,726.23",STARHEALTH,"3 8,675.59",,,"38,700.91",Mid Cap,STARHEALTH,212.0,Star Health and Allied Insurance Company Limited,3180722.5340445
122,129,Indian Overseas Bank,INE565A01014,IOB,"3 8,427.09",IOB,"3 8,421.04",,,"38,424.07",Mid Cap,IOB,72.0,Indian Overseas Bank,11331996.147472
123,130,NHPC Limited,INE848E01016,NHPC,"3 8,406.99",NHPC,"3 8,415.83",,,"38,411.41",Mid Cap,NHPC,91.0,NHPC Limited,9010396.220085
124,131,L&T Technology Services Limited,INE010V01017,LTTS,"3 8,178.76",LTTS,"3 8,177.68",,,"38,178.22",Mid Cap,LTTS,136.0,L&T Technology Services Limited,5797937.573613
125,132,Jubilant Foodworks Limited,INE797F01020,JUBLFOOD,"3 8,080.12",JUBLFOOD,"3 8,079.46",,,"38,079.79",Mid Cap,JUBLFOOD,228.0,Jubilant Foodworks Limited,2961715.1802
126,133,Gujarat Fluorochemicals Limited,INE09N301011,FLUOROCHEM,"3 8,072.28",FLUOROCHEM,"3 8,068.40",,,"38,070.34",Mid Cap,FLUOROCHEM,206.0,Gujarat Fluorochemicals Limited,3402438.975
127,134,Polycab India Limited,INE455K01017,POLYCAB,"3 7,833.34",POLYCAB,"3 7,831.19",,,"37,832.26",Mid Cap,POLYCAB,110.0,Polycab India Limited,7608988.433
128,135,Alkem Laboratories Limited,INE540L01014,ALKEM,"3 7,308.68",ALKEM,"3 7,308.43",,,"37,308.56",Mid Cap,ALKEM,134.0,Alkem Laboratories Limited,5908902.3
129,136,CG Power and Industrial Solutions Limited,INE067A01029,CGPOWER,"3 7,272.95",CGPOWER,"3 7,288.22",,,"37,280.58",Mid Cap,CGPOWER,103.0,CG Power and Industrial Solutions Limited,8261345.354526
130,137,Union Bank of India,INE692A01016,UNIONBANK,"3 6,703.41",UNIONBANK,"3 6,706.15",,,"36,704.78",Mid Cap,UNIONBANK,70.0,Union Bank of India,11717584.606745
131,138,Godrej Properties Limited,INE484J01027,GODREJPROP,"3 6,274.96",GODREJPROP,"3 6,271.53",,,"36,273.24",Mid Cap,GODREJPROP,127.0,Godrej Properties Limited,6395231.943474
132,139,"M.R.F. Ltd.,",INE883A01011,MRF,"3 6,229.16",MRF,"3 6,235.04",,,"36,232.10",Mid Cap,MRF,140.0,MRF Limited,5657148.2574105
133,140,Bharat Forge Ltd,INE465A01025,BHARATFORG,"3 6,219.41",BHARATFORG,"3 6,227.66",,,"36,223.53",Mid Cap,BHARATFORG,151.0,Bharat Forge Limited,5259289.1870720005
134,141,Delhivery Limited,INE148O01028,DELHIVERY,"3 5,828.66",DELHIVERY,"3 5,804.21",,,"35,816.44",Mid Cap,DELHIVERY,210.0,Delhivery Limited,3282746.7036525
